age,income,risk_appetite,financial_goal,investment_knowledge,dependents,location_type,existing_investments,education_level,job_type,monthly_debt,recommended_strategy
69,65900.0,0,0,1,3,2,1,0,2,12400.0,4
36,91800.0,2,1,1,1,0,0,3,3,18900.0,2
68,53300.0,2,0,2,0,2,1,3,2,12800.0,0
50,97700.0,2,1,0,1,2,2,0,2,23800.0,2
38,50900.0,1,0,0,1,0,0,0,2,5200.0,0
23,76500.0,2,2,1,3,2,1,2,2,13500.0,2
53,149300.0,1,2,0,0,1,1,3,2,38600.0,0
49,28200.0,2,1,0,0,0,2,3,2,5700.0,2
26,56300.0,0,0,0,2,0,1,3,0,14500.0,0
59,36600.0,2,1,0,1,0,1,3,2,8100.0,2
34,111700.0,1,1,1,2,2,1,3,3,26800.0,3
37,69700.0,2,2,2,0,2,0,2,2,20700.0,2
34,84000.0,0,1,2,0,2,1,2,2,22300.0,2
32,69400.0,0,0,2,0,2,2,0,2,13100.0,4
56,103100.0,2,2,0,1,0,2,0,1,0.0,2
55,87100.0,0,2,0,1,2,1,0,3,9900.0,2
44,118300.0,2,0,0,1,1,0,0,2,21500.0,0
69,69400.0,2,1,0,1,1,2,3,0,19900.0,2
54,85900.0,2,1,1,0,2,0,3,3,18700.0,2
60,27700.0,0,2,2,0,0,0,0,3,7900.0,1
55,86800.0,2,0,2,1,0,1,2,0,22600.0,0
29,61300.0,0,1,2,3,0,2,3,3,14000.0,0
34,72300.0,2,0,2,0,0,0,0,2,7200.0,0
43,65900.0,2,2,1,3,0,0,2,3,19700.0,2
44,130200.0,2,2,2,0,2,2,1,3,19700.0,2
36,26300.0,2,0,0,0,1,1,0,1,2100.0,0
50,82100.0,1,2,0,2,0,1,0,2,20500.0,2
48,80100.0,2,0,2,1,1,0,0,2,13100.0,0
66,77500.0,2,0,1,2,1,1,1,2,21100.0,0
20,130600.0,2,1,2,1,2,0,0,3,15300.0,2
24,68200.0,2,0,2,3,1,2,3,2,17300.0,0
25,58600.0,1,2,0,1,2,1,0,2,9200.0,1
25,19100.0,2,0,2,1,1,2,0,4,700.0,0
39,51800.0,1,1,1,2,1,1,0,3,11200.0,3
40,82300.0,1,0,2,0,1,0,2,2,11800.0,0
42,49200.0,1,0,2,1,2,1,0,1,3300.0,0
64,72300.0,0,1,2,0,0,0,1,2,17700.0,1
62,73000.0,2,2,1,2,2,2,2,2,11200.0,2
28,123900.0,0,0,0,0,2,0,2,2,32700.0,4
43,109400.0,1,1,1,3,2,1,3,3,27500.0,4
47,86700.0,2,1,0,3,0,1,0,4,2000.0,2
67,90600.0,2,1,1,0,1,1,0,2,20500.0,2
58,95100.0,2,2,2,3,1,2,0,2,12500.0,2
49,28200.0,2,2,1,2,1,2,2,2,5700.0,2
37,52200.0,2,0,0,2,0,1,2,2,12400.0,0
47,127500.0,2,0,2,1,0,2,0,4,2500.0,0
64,61600.0,1,1,2,2,2,2,0,1,1500.0,3
41,20600.0,2,1,1,3,1,2,0,3,4100.0,2
60,62800.0,2,1,1,1,1,1,0,0,9700.0,2
64,45000.0,1,1,0,1,1,1,0,0,9900.0,1
39,64100.0,0,0,2,1,2,0,1,3,13500.0,4
28,32300.0,2,1,0,3,1,1,1,2,8300.0,2
21,76400.0,1,1,2,0,0,1,0,2,8800.0,0
52,37100.0,0,2,2,0,1,0,0,3,7300.0,4
36,35700.0,2,0,2,3,0,1,0,3,8200.0,0
52,62700.0,2,0,1,2,1,2,1,2,14800.0,0
21,64000.0,1,1,0,1,0,2,2,3,7100.0,1
52,10000.0,2,1,2,3,2,1,0,2,2600.0,2
31,10000.0,2,2,0,1,2,2,3,0,2900.0,2
22,63000.0,2,2,0,3,2,2,3,2,9700.0,2
61,10000.0,2,0,0,2,0,2,0,2,1400.0,0
32,91800.0,2,0,2,2,2,1,3,3,24600.0,0
60,96500.0,2,0,0,1,1,1,3,0,22000.0,0
52,77600.0,2,1,0,0,0,0,0,3,22300.0,2
63,10000.0,0,1,2,1,1,1,2,2,2500.0,3
54,52200.0,2,1,2,0,1,1,0,2,12000.0,2
29,116700.0,2,0,2,2,0,1,3,3,25400.0,0
62,117900.0,2,2,2,3,2,2,3,2,32000.0,2
24,79100.0,0,1,2,3,1,2,0,0,19800.0,2
49,79500.0,2,1,0,2,0,0,3,2,11500.0,2
57,67900.0,1,0,1,1,2,1,2,2,19000.0,0
43,65500.0,1,1,2,0,1,2,3,2,14900.0,0
42,120200.0,2,0,0,3,2,0,0,0,35600.0,0
42,92100.0,2,2,0,1,2,0,0,2,26800.0,2
55,32000.0,1,0,2,1,0,2,3,2,7200.0,0
34,109600.0,0,1,1,3,2,2,1,2,13300.0,1
33,98500.0,2,1,0,2,1,0,2,2,16200.0,2
38,122300.0,2,0,0,1,0,0,0,2,35300.0,0
33,123900.0,0,2,0,1,1,0,0,1,0.0,4
63,42000.0,0,0,0,1,0,2,0,1,1000.0,3
57,37000.0,1,2,2,0,2,0,0,4,3100.0,3
45,44100.0,0,0,2,3,2,1,1,2,9600.0,2
23,124800.0,1,1,2,3,2,1,0,1,2400.0,3
67,47300.0,0,2,0,3,2,1,3,2,10900.0,2
62,115200.0,0,2,1,1,2,0,0,3,29300.0,1
26,61500.0,2,1,2,1,2,1,3,2,7700.0,2
24,75000.0,2,2,0,2,2,2,0,2,15600.0,2
56,58800.0,2,1,2,3,0,2,3,1,2300.0,2
64,75300.0,0,2,1,1,1,0,3,2,15300.0,4
42,94400.0,0,1,0,3,0,2,0,4,2500.0,4
25,55600.0,2,2,2,0,1,0,3,2,13700.0,2
58,60200.0,0,2,0,2,0,1,0,0,17900.0,1
67,116200.0,2,1,0,2,2,1,0,2,30600.0,2
52,10000.0,2,0,0,0,0,1,3,1,2400.0,0
44,98600.0,1,0,2,1,2,0,1,2,17900.0,0
54,100500.0,2,1,0,0,0,1,3,2,28100.0,2
37,42600.0,2,1,2,2,2,1,2,0,7700.0,2
63,38000.0,2,1,2,3,0,0,0,2,9100.0,2
58,12500.0,2,2,2,3,1,1,2,1,4100.0,2
31,76600.0,2,1,2,0,0,1,0,2,7800.0,2
66,93600.0,2,1,1,0,2,0,0,3,22100.0,2
41,63300.0,1,0,2,3,0,1,2,4,600.0,0
33,35000.0,2,0,0,0,0,1,0,2,8300.0,0
40,58200.0,2,2,0,0,0,0,2,2,6700.0,2
32,15900.0,0,1,0,1,0,1,3,3,4600.0,3
66,64900.0,2,1,2,0,2,2,0,2,15400.0,2
62,38100.0,2,0,2,1,2,0,2,2,6600.0,0
35,84600.0,1,0,2,2,1,0,3,4,2500.0,0
61,71400.0,0,2,2,2,2,1,0,2,12300.0,2
49,11400.0,2,1,2,2,1,0,0,2,1600.0,2
51,18500.0,2,0,2,3,2,1,3,3,3800.0,0
22,140600.0,2,1,0,2,2,2,0,1,900.0,2
48,39700.0,1,1,0,1,1,1,3,3,6300.0,4
42,52100.0,2,1,0,3,2,1,0,2,13000.0,2
45,115800.0,0,2,1,0,1,0,3,4,2600.0,4
52,115500.0,1,1,0,1,1,2,0,2,16300.0,2
50,85900.0,2,0,0,1,2,1,0,1,1600.0,0
46,95400.0,2,1,0,0,1,2,2,4,2700.0,2
37,44700.0,2,1,1,1,2,1,2,2,6100.0,2
22,60200.0,1,0,0,3,0,1,2,2,11700.0,0
64,106200.0,2,2,0,1,2,0,0,3,17400.0,2
39,58400.0,2,0,0,0,1,2,0,0,12900.0,0
44,90000.0,2,0,0,1,1,2,3,2,12700.0,0
53,100000.0,2,0,0,3,0,2,3,3,29100.0,0
21,36000.0,2,0,0,3,2,0,0,2,5300.0,0
26,60100.0,2,0,2,0,1,0,2,2,6100.0,0
25,41900.0,2,0,2,2,0,2,3,2,5100.0,0
21,98800.0,1,2,2,3,2,2,0,2,28500.0,3
40,53900.0,2,0,0,2,1,1,0,3,12100.0,0
56,38000.0,2,1,0,3,1,2,3,2,5200.0,2
64,21000.0,2,0,2,2,0,2,2,2,3300.0,0
40,10000.0,2,1,1,0,0,1,0,1,3100.0,2
26,105800.0,1,2,0,2,0,1,0,3,29500.0,4
26,36100.0,1,2,1,2,1,0,0,2,10700.0,0
23,71600.0,0,1,2,2,2,0,3,3,17700.0,2
47,88600.0,1,0,1,3,0,1,0,2,9500.0,0
50,77200.0,0,1,2,3,1,0,0,2,17500.0,2
68,92600.0,2,1,1,3,2,1,3,3,12200.0,2
52,79500.0,0,1,1,2,2,1,3,2,11500.0,1
42,125200.0,2,2,1,0,1,1,0,2,27500.0,2
45,91300.0,1,1,0,3,2,1,0,2,10300.0,1
62,75200.0,1,1,0,3,1,2,0,0,7500.0,1
64,121900.0,1,1,0,1,0,0,0,0,15500.0,2
60,69300.0,1,2,2,2,0,0,3,0,9200.0,3
24,109800.0,0,0,1,3,2,1,0,1,1600.0,1
66,93000.0,2,0,2,0,1,0,0,2,15300.0,0
22,33200.0,2,2,0,0,0,0,0,3,7400.0,2
62,63000.0,0,0,2,1,0,2,3,2,18200.0,0
40,41100.0,0,0,0,1,2,2,3,0,6200.0,4
61,96600.0,2,1,0,2,0,1,3,2,21700.0,2
27,102900.0,2,2,2,1,2,1,0,3,18100.0,2
27,93100.0,2,2,0,3,2,1,2,3,17700.0,2
63,10000.0,0,1,0,3,2,0,2,3,1900.0,2
27,47800.0,2,2,2,0,1,1,0,0,12700.0,2
48,91600.0,1,0,0,3,1,2,0,2,25000.0,0
57,69400.0,2,2,1,3,2,2,0,2,17400.0,2
35,85000.0,1,2,2,0,0,1,0,4,1600.0,2
69,75500.0,2,0,2,3,0,0,0,0,8300.0,0
60,132200.0,2,2,2,1,2,1,3,2,22700.0,2
48,69000.0,1,2,0,3,2,2,3,3,14800.0,2
57,104100.0,1,0,1,0,1,2,2,3,20800.0,0
42,112100.0,2,0,2,2,1,2,0,2,16100.0,0
37,45700.0,2,0,0,1,0,1,0,3,12800.0,0
32,59000.0,2,0,0,3,0,0,1,2,8500.0,0
39,90100.0,2,0,0,3,2,2,0,2,26100.0,0
34,144300.0,2,2,2,3,2,1,0,3,38300.0,2
40,137700.0,1,2,2,3,1,1,0,2,18700.0,1
48,106000.0,2,1,0,0,1,0,0,4,1100.0,2
55,79900.0,1,2,0,3,1,0,0,3,15800.0,4
50,79300.0,2,0,2,2,1,0,0,2,13600.0,0
32,71600.0,2,1,0,3,2,1,2,2,13300.0,2
27,85500.0,1,2,2,3,0,0,3,1,2000.0,4
54,94400.0,2,2,2,1,1,0,3,2,10600.0,2
55,57500.0,0,1,0,1,0,0,2,4,300.0,0
60,76200.0,2,1,2,1,2,1,3,3,15200.0,2
21,32700.0,2,1,1,1,0,0,3,1,1100.0,2
69,24600.0,2,0,1,1,1,2,0,2,3800.0,0
27,57700.0,2,0,0,2,1,0,0,3,6600.0,0
21,49000.0,2,2,2,0,1,0,0,3,6400.0,2
41,53000.0,2,0,2,1,1,2,0,3,8800.0,0
24,35100.0,2,0,0,3,1,2,0,3,6000.0,0
41,61500.0,1,2,0,3,0,2,0,2,13500.0,0
52,54200.0,1,2,2,3,0,2,0,2,6000.0,3
20,78100.0,1,0,0,1,2,2,2,4,1400.0,0
69,41700.0,1,0,2,2,2,2,2,3,5700.0,0
48,109500.0,2,1,2,3,0,0,3,4,2600.0,2
60,10000.0,2,0,2,1,1,2,3,0,2900.0,0
27,44300.0,1,0,2,3,0,2,2,3,11300.0,0
32,29100.0,2,1,0,2,2,2,0,2,8100.0,2
26,126100.0,2,0,0,1,1,2,3,0,28100.0,0
55,33800.0,1,2,1,1,1,2,3,2,8200.0,4
29,105400.0,2,2,2,3,0,2,0,2,21800.0,2
66,45300.0,0,0,0,0,1,2,1,2,13300.0,4
65,58400.0,0,2,0,0,0,0,3,2,15700.0,1
65,71200.0,2,0,2,1,1,1,0,3,18300.0,0
50,95400.0,2,2,0,3,0,2,0,2,18100.0,2
43,25000.0,2,1,0,3,0,2,3,2,4500.0,2
42,91900.0,1,1,2,1,0,0,0,2,14900.0,4
46,75000.0,2,1,1,1,0,1,0,2,22000.0,2
61,30500.0,2,1,0,2,1,1,0,2,8900.0,2
35,99000.0,0,0,2,1,1,0,0,3,25100.0,4
34,67400.0,2,0,1,1,2,2,0,1,2800.0,0
30,98900.0,2,0,0,3,0,2,0,1,2300.0,0
23,23100.0,0,2,1,2,1,0,2,3,6000.0,4
61,93100.0,1,0,2,0,2,1,0,1,700.0,0
51,72500.0,2,0,1,1,0,1,2,2,16700.0,0
46,84400.0,1,2,0,2,2,1,0,2,24200.0,3
62,72100.0,1,2,2,1,0,2,0,3,10700.0,4
61,96800.0,0,2,1,1,2,1,0,0,18300.0,4
32,65100.0,2,0,0,1,2,2,3,0,7300.0,0
42,93300.0,2,2,0,1,1,0,3,1,2500.0,2
24,81600.0,0,2,1,0,1,0,3,2,12400.0,4
63,77700.0,1,2,0,2,2,0,3,0,22600.0,0
43,86900.0,2,2,1,3,2,1,3,0,9300.0,2
68,56000.0,2,0,2,2,1,1,2,0,7900.0,0
45,28800.0,2,2,0,2,2,1,0,3,7800.0,2
34,32800.0,2,0,0,1,1,1,2,1,0.0,0
35,94300.0,2,2,2,0,0,0,3,2,18500.0,2
48,106700.0,1,0,0,2,0,1,0,0,21100.0,0
22,77100.0,0,1,0,0,0,2,2,3,22000.0,0
36,57300.0,2,1,2,1,1,2,0,4,1300.0,2
30,82100.0,0,1,0,3,1,1,0,1,3700.0,4
44,70700.0,1,2,0,0,2,1,3,4,3000.0,2
56,72100.0,1,1,2,2,1,0,3,2,9000.0,3
22,76900.0,1,1,0,0,1,1,0,4,2700.0,2
64,58600.0,0,0,1,2,0,0,1,2,12100.0,1
69,70800.0,1,2,2,1,0,0,3,3,19200.0,2
65,47900.0,0,2,2,2,1,1,3,2,11600.0,1
34,86800.0,1,2,0,2,2,0,0,2,18300.0,2
59,26400.0,2,0,1,1,0,0,0,1,2600.0,0
67,58900.0,2,2,2,1,2,1,0,4,2700.0,2
57,66800.0,0,0,2,1,0,0,0,3,13900.0,2
67,54200.0,2,2,0,0,1,1,0,3,13700.0,2
61,76300.0,2,2,0,3,2,2,0,3,15100.0,2
32,46200.0,0,0,1,1,1,2,2,2,9700.0,4
42,84800.0,1,2,2,3,1,0,0,3,16900.0,1
48,91100.0,1,0,2,0,2,1,1,2,12200.0,0
66,42000.0,2,0,1,2,2,2,2,2,9100.0,0
23,77700.0,2,2,2,0,0,1,0,2,8700.0,2
62,54800.0,2,2,0,2,1,0,0,3,9100.0,2
48,107000.0,1,0,1,0,0,1,0,2,17200.0,0
43,93200.0,0,1,1,2,1,0,0,3,27900.0,4
37,64600.0,0,0,0,2,1,1,0,4,3300.0,1
48,10500.0,0,2,2,2,1,2,0,4,1700.0,2
45,43900.0,1,0,0,0,1,2,2,2,11500.0,0
28,39300.0,2,0,2,1,1,0,3,2,11000.0,0
38,74200.0,1,2,2,3,2,2,3,3,11700.0,2
48,75400.0,1,2,2,2,1,1,0,3,14500.0,2
37,14800.0,1,1,2,2,0,1,3,2,3200.0,0
49,44100.0,1,0,2,0,2,2,0,2,8200.0,0
36,63600.0,2,0,0,2,2,0,0,0,15900.0,0
66,41600.0,2,0,2,2,1,0,3,3,9500.0,0
39,78700.0,2,1,2,0,0,1,3,2,21000.0,2
45,73600.0,0,0,2,2,2,0,0,2,21100.0,1
67,75100.0,2,0,1,0,0,1,1,4,1200.0,0
66,23200.0,0,2,0,2,1,2,0,2,3000.0,3
64,53700.0,2,1,0,2,0,1,0,2,8700.0,2
28,61200.0,1,2,2,0,0,0,3,1,1800.0,0
29,53800.0,2,0,1,1,0,2,2,2,8500.0,0
59,130000.0,2,1,0,3,1,2,0,2,25800.0,2
24,53800.0,2,2,2,3,1,2,0,2,12300.0,2
41,118800.0,1,0,0,3,1,2,0,2,27800.0,0
30,86800.0,2,1,2,1,0,2,0,2,20800.0,2
45,78900.0,2,0,0,0,2,0,0,2,21000.0,0
39,56000.0,2,2,0,0,2,2,2,2,10300.0,2
46,10000.0,1,0,2,1,1,1,0,3,1700.0,0
47,85000.0,0,0,0,1,2,0,0,2,11800.0,2
64,57500.0,1,2,2,1,0,1,3,0,11000.0,0
28,111200.0,0,0,0,0,0,0,1,0,27300.0,3
62,109900.0,2,1,2,0,2,0,0,3,30100.0,2
45,77900.0,2,1,2,2,1,0,0,1,3100.0,2
25,53600.0,0,0,0,3,2,2,2,2,12900.0,2
48,58600.0,1,0,0,1,1,2,2,2,13800.0,0
61,95900.0,2,0,0,2,1,2,2,4,3300.0,0
50,60000.0,2,1,0,3,2,2,0,3,17600.0,2
27,34200.0,2,2,0,0,2,1,0,3,7200.0,2
68,70200.0,1,0,0,0,1,2,0,2,19400.0,0
28,93800.0,2,2,2,1,2,1,0,3,19700.0,2
66,29500.0,1,2,2,3,2,1,0,2,6700.0,2
46,91900.0,2,0,1,3,2,2,0,0,20800.0,0
55,62900.0,1,2,2,2,0,2,1,2,10200.0,2
25,87300.0,2,2,2,0,1,1,0,2,19300.0,2
53,23900.0,1,2,0,2,1,2,2,2,3300.0,1
21,10000.0,1,2,1,0,2,2,2,3,1700.0,0
57,71500.0,2,1,0,3,2,2,0,2,10300.0,2
42,49700.0,2,2,2,1,1,1,3,4,1200.0,2
65,124400.0,1,0,2,1,0,0,0,2,32600.0,0
37,119600.0,2,0,2,2,2,1,3,2,25600.0,0
43,46000.0,2,2,0,1,0,1,2,4,2100.0,2
23,20300.0,0,0,2,1,0,1,3,2,2600.0,1
68,47800.0,1,0,0,2,1,2,0,2,13700.0,0
42,77100.0,2,1,1,1,0,2,0,1,2300.0,2
35,83100.0,1,1,0,1,1,2,0,3,11700.0,2
62,107100.0,1,0,2,1,0,1,3,2,17100.0,0
63,80100.0,2,2,1,2,1,1,0,2,19000.0,2
60,61400.0,1,0,0,3,0,1,2,2,9900.0,0
35,58300.0,2,1,0,0,1,0,0,1,0.0,2
28,88800.0,1,0,0,3,2,1,3,2,17700.0,0
48,109900.0,2,0,0,1,0,0,3,2,25400.0,0
58,86100.0,2,1,0,3,0,1,0,3,16000.0,2
34,61500.0,1,2,0,1,0,2,1,2,12200.0,4
40,96100.0,0,1,0,3,0,2,0,2,24700.0,1
29,121800.0,2,2,2,3,2,1,2,2,22800.0,2
43,52100.0,1,0,0,2,1,1,3,3,7700.0,0
42,74200.0,1,1,1,1,0,1,2,3,13300.0,2
24,31800.0,2,2,0,0,1,1,0,2,9200.0,2
61,34500.0,2,0,1,3,1,0,2,3,8000.0,0
67,61700.0,1,2,0,3,1,1,3,3,17100.0,0
50,48800.0,2,2,2,2,1,0,0,1,2300.0,2
36,76900.0,2,0,1,1,0,0,1,2,19800.0,0
56,96800.0,2,2,2,2,0,1,0,2,19600.0,2
21,63300.0,2,2,1,0,2,0,0,2,8600.0,2
36,26800.0,2,0,2,1,1,1,0,2,4000.0,0
51,124700.0,1,0,0,3,2,0,0,0,34100.0,0
45,71700.0,0,2,0,0,0,1,0,2,9300.0,0
53,107900.0,2,1,2,0,0,2,2,3,31200.0,2
57,37600.0,2,1,0,1,1,1,0,1,0.0,2
64,46900.0,2,1,0,1,2,0,2,2,6700.0,2
60,79000.0,0,1,0,2,0,1,0,2,12400.0,0
22,154900.0,1,0,2,3,0,1,0,4,2500.0,0
64,44700.0,0,1,0,3,1,2,3,2,11200.0,2
35,83000.0,2,0,0,2,2,1,3,2,10200.0,0
51,64100.0,2,0,2,1,1,1,0,2,8700.0,0
44,42000.0,2,0,2,2,2,1,0,2,9000.0,0
38,77200.0,2,2,0,2,1,0,3,1,1800.0,2
37,70000.0,1,1,0,3,1,0,0,2,15600.0,2
28,27700.0,1,2,0,2,0,1,3,2,3800.0,4
38,89500.0,2,2,0,1,0,2,0,1,1500.0,2
41,44400.0,2,1,0,1,2,1,3,2,12000.0,2
47,23800.0,0,1,0,0,1,2,2,3,5400.0,3
61,79400.0,0,1,1,3,2,2,2,2,15500.0,1
56,77500.0,0,0,2,2,0,1,3,4,2900.0,3
58,44500.0,1,1,0,2,2,1,3,2,7200.0,2
20,82100.0,2,1,2,2,1,1,3,0,17400.0,2
30,98200.0,2,0,2,1,0,1,3,2,24300.0,0
25,49000.0,1,2,0,2,1,0,2,2,11900.0,4
30,86400.0,1,1,0,0,1,1,0,2,24300.0,3
20,94100.0,2,0,0,2,1,0,0,2,9500.0,0
28,86400.0,2,0,0,0,1,1,3,2,22900.0,0
63,17700.0,1,0,0,0,0,2,0,2,4200.0,0
20,18100.0,1,0,0,1,0,0,0,0,4800.0,0
23,10000.0,2,1,0,3,2,0,2,4,3000.0,2
69,28300.0,2,2,2,2,2,2,0,4,2600.0,2
38,93800.0,1,2,0,1,0,1,0,2,21200.0,4
56,33200.0,0,2,2,0,1,1,3,2,7600.0,4
40,87300.0,2,2,0,0,2,0,3,3,14100.0,2
67,74200.0,0,0,1,3,2,1,2,2,19500.0,1
27,49400.0,2,0,0,2,0,1,0,2,11700.0,0
61,119800.0,1,2,0,2,2,2,1,0,22600.0,1
69,43900.0,2,2,2,1,2,2,3,0,12100.0,2
39,97400.0,2,0,0,1,1,0,3,2,24000.0,0
60,34600.0,1,0,0,0,0,2,2,3,3900.0,0
31,10000.0,1,1,0,0,2,1,3,0,2600.0,0
26,110100.0,2,1,1,2,0,2,1,3,15100.0,2
69,62000.0,2,0,2,0,0,2,0,3,15800.0,0
68,46300.0,2,0,2,2,2,1,0,4,2400.0,0
49,61800.0,1,2,2,2,2,1,2,0,7400.0,4
64,114200.0,2,2,2,2,2,1,3,2,11600.0,2
38,72000.0,2,2,2,1,1,0,2,2,21200.0,2
46,87800.0,1,0,0,2,2,2,0,1,1500.0,0
43,63300.0,2,1,0,1,0,2,0,2,16500.0,2
30,28900.0,2,1,0,2,2,2,2,3,3100.0,2
67,96900.0,2,0,0,2,1,2,2,2,22200.0,0
22,76600.0,2,2,0,2,2,2,0,2,19900.0,2
69,48600.0,2,2,1,0,1,1,1,2,11100.0,2
26,52400.0,2,2,1,3,2,1,3,3,13400.0,2
35,82700.0,2,0,0,1,0,0,3,4,2100.0,0
55,70800.0,1,0,0,3,0,2,0,4,0.0,0
43,64100.0,0,1,2,0,2,2,0,2,7100.0,0
48,65700.0,2,2,0,0,0,2,3,2,8900.0,2
62,23800.0,1,1,2,3,0,1,0,3,3400.0,0
47,82400.0,0,2,0,2,2,1,0,0,12300.0,1
33,21000.0,2,0,2,0,0,0,2,1,1700.0,0
66,71600.0,2,2,0,3,0,0,0,2,11700.0,2
56,119600.0,2,0,2,1,0,1,2,2,20800.0,0
63,65000.0,1,2,0,0,2,1,2,2,10000.0,3
29,23800.0,2,0,0,3,0,0,0,2,6600.0,0
43,38800.0,1,2,0,0,1,1,2,2,9300.0,3
28,75300.0,1,1,0,0,2,2,3,2,9900.0,1
47,56900.0,2,0,0,1,0,2,2,2,13100.0,0
21,53000.0,0,1,0,2,0,1,3,2,12000.0,3
39,62800.0,0,2,0,1,0,0,0,1,1300.0,3
30,77600.0,1,2,2,3,0,1,0,0,21600.0,1
42,119800.0,2,2,1,1,1,2,2,4,3300.0,2
33,138400.0,1,2,1,0,2,1,0,2,27100.0,3
28,31500.0,1,1,0,3,1,1,0,3,3800.0,0
53,22900.0,1,2,2,1,2,1,2,4,2100.0,1
32,36300.0,2,0,2,2,1,0,1,2,6300.0,0
67,72100.0,1,1,0,0,2,1,0,2,14900.0,1
20,97200.0,2,0,0,3,0,2,3,2,22200.0,0
24,44800.0,0,2,0,0,2,0,3,2,12400.0,2
24,52400.0,1,0,0,1,1,0,2,0,12300.0,0
40,61000.0,2,1,0,3,2,2,0,3,13200.0,2
20,87400.0,2,0,0,0,2,1,0,3,18700.0,0
35,77000.0,0,0,2,2,0,1,2,3,17200.0,1
30,61500.0,2,0,1,3,1,2,3,2,15800.0,0
40,82100.0,0,2,2,0,2,2,0,2,23600.0,2
47,109400.0,2,1,1,2,1,0,0,4,700.0,2
23,34100.0,1,2,2,3,1,0,0,2,6400.0,1
49,67600.0,2,2,0,0,0,1,0,2,16500.0,2
63,118300.0,2,1,0,1,1,0,3,4,2200.0,2
43,122300.0,1,1,0,2,1,1,1,4,2100.0,2
45,32900.0,2,1,2,2,1,0,0,2,4800.0,2
68,52500.0,0,1,0,3,2,1,3,4,1500.0,2
50,102800.0,2,0,2,2,1,1,0,2,21500.0,0
25,53600.0,1,0,0,0,1,1,3,3,11100.0,0
25,100300.0,1,0,1,1,2,2,0,2,10800.0,0
30,73300.0,2,2,1,3,1,0,2,3,9500.0,2
68,60500.0,1,1,2,3,2,1,0,0,14200.0,4
28,48100.0,2,0,0,2,0,2,0,2,6600.0,0
65,55300.0,0,0,0,1,2,2,0,2,14200.0,2
21,67300.0,2,0,1,2,1,2,0,0,10300.0,0
35,94300.0,2,1,1,3,0,1,0,1,3500.0,2
57,74900.0,1,2,0,0,0,1,0,2,18300.0,4
69,99400.0,0,1,0,3,2,1,2,2,11600.0,3
47,84700.0,2,2,1,2,2,1,0,2,23400.0,2
66,99800.0,2,2,0,3,0,2,3,2,18300.0,2
32,98300.0,2,1,1,1,1,1,2,2,19200.0,2
60,120700.0,2,1,2,2,0,1,2,1,1500.0,2
55,49400.0,2,1,0,1,1,2,3,1,2100.0,2
64,69500.0,1,1,0,3,0,1,0,2,7500.0,1
26,80900.0,2,0,1,0,1,0,2,2,19300.0,0
21,46800.0,1,1,0,1,0,2,0,3,5900.0,1
27,73300.0,1,2,2,0,1,2,0,3,8900.0,4
52,20500.0,1,1,2,2,2,1,1,1,2100.0,2
28,19000.0,1,2,1,1,0,2,3,3,2400.0,1
