age,income,risk_appetite,financial_goal,investment_knowledge,dependents,location_type,existing_investments,education_level,job_type,monthly_debt,recommended_strategy
66,77500.0,Medium,Retirement,Expert,2,Semi-urban,Some,Doctorate,Salaried,21100.0,Bonds
20,130600.0,Medium,Short-term profit,Intermediate,1,Urban,Diverse,Bachelor's,Self-employed,15300.0,Mixed
24,68200.0,Medium,Retirement,Intermediate,3,Semi-urban,None,Master's,Salaried,17300.0,Bonds
25,58600.0,Low,Wealth-building,Beginner,1,Urban,Some,Bachelor's,Salaried,9200.0,Crypto
25,19100.0,Medium,Retirement,Intermediate,1,Semi-urban,None,Bachelor's,Student,700.0,Bonds
39,51800.0,Low,Short-term profit,Expert,2,Semi-urban,Some,Bachelor's,Self-employed,11200.0,Property
40,82300.0,Low,Retirement,Intermediate,0,Semi-urban,Diverse,High School,Salaried,11800.0,Bonds
42,49200.0,Low,Retirement,Intermediate,1,Urban,Some,Bachelor's,Retired,3300.0,Bonds
64,72300.0,High,Short-term profit,Intermediate,0,Rural,Diverse,Doctorate,Salaried,17700.0,Crypto
62,73000.0,Medium,Wealth-building,Expert,2,Urban,None,High School,Salaried,11200.0,Mixed
28,123900.0,High,Retirement,Beginner,0,Urban,Diverse,High School,Salaried,32700.0,Stocks
43,109400.0,Low,Short-term profit,Expert,3,Urban,Some,Master's,Self-employed,27500.0,Stocks
47,86700.0,Medium,Short-term profit,Beginner,3,Rural,Some,Bachelor's,Student,2000.0,Mixed
67,90600.0,Medium,Short-term profit,Expert,0,Semi-urban,Some,Bachelor's,Salaried,20500.0,Mixed
58,95100.0,Medium,Wealth-building,Intermediate,3,Semi-urban,None,Bachelor's,Salaried,12500.0,Mixed
49,28200.0,Medium,Wealth-building,Expert,2,Semi-urban,None,High School,Salaried,5700.0,Mixed
37,52200.0,Medium,Retirement,Beginner,2,Rural,Some,High School,Salaried,12400.0,Bonds
47,127500.0,Medium,Retirement,Intermediate,1,Rural,None,Bachelor's,Student,2500.0,Bonds
64,61600.0,Low,Short-term profit,Intermediate,2,Urban,None,Bachelor's,Retired,1500.0,Property
41,20600.0,Medium,Short-term profit,Expert,3,Semi-urban,None,Bachelor's,Self-employed,4100.0,Mixed
60,62800.0,Medium,Short-term profit,Expert,1,Semi-urban,Some,Bachelor's,Freelancer,9700.0,Mixed
64,45000.0,Low,Short-term profit,Beginner,1,Semi-urban,Some,Bachelor's,Freelancer,9900.0,Crypto
39,64100.0,High,Retirement,Intermediate,1,Urban,Diverse,Doctorate,Self-employed,13500.0,Stocks
28,32300.0,Medium,Short-term profit,Beginner,3,Semi-urban,Some,Doctorate,Salaried,8300.0,Mixed
21,76400.0,Low,Short-term profit,Intermediate,0,Rural,Some,Bachelor's,Salaried,8800.0,Bonds
52,37100.0,High,Wealth-building,Intermediate,0,Semi-urban,Diverse,Bachelor's,Self-employed,7300.0,Stocks
36,35700.0,Medium,Retirement,Intermediate,3,Rural,Some,Bachelor's,Self-employed,8200.0,Bonds
52,62700.0,Medium,Retirement,Expert,2,Semi-urban,None,Doctorate,Salaried,14800.0,Bonds
21,64000.0,Low,Short-term profit,Beginner,1,Rural,None,High School,Self-employed,7100.0,Crypto
52,10000.0,Medium,Short-term profit,Intermediate,3,Urban,Some,Bachelor's,Salaried,2600.0,Mixed
31,10000.0,Medium,Wealth-building,Beginner,1,Urban,None,Master's,Freelancer,2900.0,Mixed
22,63000.0,Medium,Wealth-building,Beginner,3,Urban,None,Master's,Salaried,9700.0,Mixed
61,10000.0,Medium,Retirement,Beginner,2,Rural,None,Bachelor's,Salaried,1400.0,Bonds
32,91800.0,Medium,Retirement,Intermediate,2,Urban,Some,Master's,Self-employed,24600.0,Bonds
60,96500.0,Medium,Retirement,Beginner,1,Semi-urban,Some,Master's,Freelancer,22000.0,Bonds
52,77600.0,Medium,Short-term profit,Beginner,0,Rural,Diverse,Bachelor's,Self-employed,22300.0,Mixed
63,10000.0,High,Short-term profit,Intermediate,1,Semi-urban,Some,High School,Salaried,2500.0,Property
54,52200.0,Medium,Short-term profit,Intermediate,0,Semi-urban,Some,Bachelor's,Salaried,12000.0,Mixed
29,116700.0,Medium,Retirement,Intermediate,2,Rural,Some,Master's,Self-employed,25400.0,Bonds
62,117900.0,Medium,Wealth-building,Intermediate,3,Urban,None,Master's,Salaried,32000.0,Mixed
24,79100.0,High,Short-term profit,Intermediate,3,Semi-urban,None,Bachelor's,Freelancer,19800.0,Mixed
49,79500.0,Medium,Short-term profit,Beginner,2,Rural,Diverse,Master's,Salaried,11500.0,Mixed
57,67900.0,Low,Retirement,Expert,1,Urban,Some,High School,Salaried,19000.0,Bonds
43,65500.0,Low,Short-term profit,Intermediate,0,Semi-urban,None,Master's,Salaried,14900.0,Bonds
42,120200.0,Medium,Retirement,Beginner,3,Urban,Diverse,Bachelor's,Freelancer,35600.0,Bonds
42,92100.0,Medium,Wealth-building,Beginner,1,Urban,Diverse,Bachelor's,Salaried,26800.0,Mixed
55,32000.0,Low,Retirement,Intermediate,1,Rural,None,Master's,Salaried,7200.0,Bonds
34,109600.0,High,Short-term profit,Expert,3,Urban,None,Doctorate,Salaried,13300.0,Crypto
33,98500.0,Medium,Short-term profit,Beginner,2,Semi-urban,Diverse,High School,Salaried,16200.0,Mixed
38,122300.0,Medium,Retirement,Beginner,1,Rural,Diverse,Bachelor's,Salaried,35300.0,Bonds
33,123900.0,High,Wealth-building,Beginner,1,Semi-urban,Diverse,Bachelor's,Retired,0.0,Stocks
63,42000.0,High,Retirement,Beginner,1,Rural,None,Bachelor's,Retired,1000.0,Property
57,37000.0,Low,Wealth-building,Intermediate,0,Urban,Diverse,Bachelor's,Student,3100.0,Property
45,44100.0,High,Retirement,Intermediate,3,Urban,Some,Doctorate,Salaried,9600.0,Mixed
23,124800.0,Low,Short-term profit,Intermediate,3,Urban,Some,Bachelor's,Retired,2400.0,Property
67,47300.0,High,Wealth-building,Beginner,3,Urban,Some,Master's,Salaried,10900.0,Mixed
62,115200.0,High,Wealth-building,Expert,1,Urban,Diverse,Bachelor's,Self-employed,29300.0,Crypto
26,61500.0,Medium,Short-term profit,Intermediate,1,Urban,Some,Master's,Salaried,7700.0,Mixed
24,75000.0,Medium,Wealth-building,Beginner,2,Urban,None,Bachelor's,Salaried,15600.0,Mixed
56,58800.0,Medium,Short-term profit,Intermediate,3,Rural,None,Master's,Retired,2300.0,Mixed
64,75300.0,High,Wealth-building,Expert,1,Semi-urban,Diverse,Master's,Salaried,15300.0,Stocks
42,94400.0,High,Short-term profit,Beginner,3,Rural,None,Bachelor's,Student,2500.0,Stocks
25,55600.0,Medium,Wealth-building,Intermediate,0,Semi-urban,Diverse,Master's,Salaried,13700.0,Mixed
58,60200.0,High,Wealth-building,Beginner,2,Rural,Some,Bachelor's,Freelancer,17900.0,Crypto
67,116200.0,Medium,Short-term profit,Beginner,2,Urban,Some,Bachelor's,Salaried,30600.0,Mixed
52,10000.0,Medium,Retirement,Beginner,0,Rural,Some,Master's,Retired,2400.0,Bonds
44,98600.0,Low,Retirement,Intermediate,1,Urban,Diverse,Doctorate,Salaried,17900.0,Bonds
54,100500.0,Medium,Short-term profit,Beginner,0,Rural,Some,Master's,Salaried,28100.0,Mixed
37,42600.0,Medium,Short-term profit,Intermediate,2,Urban,Some,High School,Freelancer,7700.0,Mixed
63,38000.0,Medium,Short-term profit,Intermediate,3,Rural,Diverse,Bachelor's,Salaried,9100.0,Mixed
58,12500.0,Medium,Wealth-building,Intermediate,3,Semi-urban,Some,High School,Retired,4100.0,Mixed
31,76600.0,Medium,Short-term profit,Intermediate,0,Rural,Some,Bachelor's,Salaried,7800.0,Mixed
66,93600.0,Medium,Short-term profit,Expert,0,Urban,Diverse,Bachelor's,Self-employed,22100.0,Mixed
41,63300.0,Low,Retirement,Intermediate,3,Rural,Some,High School,Student,600.0,Bonds
33,35000.0,Medium,Retirement,Beginner,0,Rural,Some,Bachelor's,Salaried,8300.0,Bonds
40,58200.0,Medium,Wealth-building,Beginner,0,Rural,Diverse,High School,Salaried,6700.0,Mixed
32,15900.0,High,Short-term profit,Beginner,1,Rural,Some,Master's,Self-employed,4600.0,Property
66,64900.0,Medium,Short-term profit,Intermediate,0,Urban,None,Bachelor's,Salaried,15400.0,Mixed
62,38100.0,Medium,Retirement,Intermediate,1,Urban,Diverse,High School,Salaried,6600.0,Bonds
35,84600.0,Low,Retirement,Intermediate,2,Semi-urban,Diverse,Master's,Student,2500.0,Bonds
61,71400.0,High,Wealth-building,Intermediate,2,Urban,Some,Bachelor's,Salaried,12300.0,Mixed
49,11400.0,Medium,Short-term profit,Intermediate,2,Semi-urban,Diverse,Bachelor's,Salaried,1600.0,Mixed
51,18500.0,Medium,Retirement,Intermediate,3,Urban,Some,Master's,Self-employed,3800.0,Bonds
22,140600.0,Medium,Short-term profit,Beginner,2,Urban,None,Bachelor's,Retired,900.0,Mixed
48,39700.0,Low,Short-term profit,Beginner,1,Semi-urban,Some,Master's,Self-employed,6300.0,Stocks
42,52100.0,Medium,Short-term profit,Beginner,3,Urban,Some,Bachelor's,Salaried,13000.0,Mixed
45,115800.0,High,Wealth-building,Expert,0,Semi-urban,Diverse,Master's,Student,2600.0,Stocks
52,115500.0,Low,Short-term profit,Beginner,1,Semi-urban,None,Bachelor's,Salaried,16300.0,Mixed
50,85900.0,Medium,Retirement,Beginner,1,Urban,Some,Bachelor's,Retired,1600.0,Bonds
46,95400.0,Medium,Short-term profit,Beginner,0,Semi-urban,None,High School,Student,2700.0,Mixed
37,44700.0,Medium,Short-term profit,Expert,1,Urban,Some,High School,Salaried,6100.0,Mixed
22,60200.0,Low,Retirement,Beginner,3,Rural,Some,High School,Salaried,11700.0,Bonds
64,106200.0,Medium,Wealth-building,Beginner,1,Urban,Diverse,Bachelor's,Self-employed,17400.0,Mixed
39,58400.0,Medium,Retirement,Beginner,0,Semi-urban,None,Bachelor's,Freelancer,12900.0,Bonds
44,90000.0,Medium,Retirement,Beginner,1,Semi-urban,None,Master's,Salaried,12700.0,Bonds
53,100000.0,Medium,Retirement,Beginner,3,Rural,None,Master's,Self-employed,29100.0,Bonds
21,36000.0,Medium,Retirement,Beginner,3,Urban,Diverse,Bachelor's,Salaried,5300.0,Bonds
26,60100.0,Medium,Retirement,Intermediate,0,Semi-urban,Diverse,High School,Salaried,6100.0,Bonds
25,41900.0,Medium,Retirement,Intermediate,2,Rural,None,Master's,Salaried,5100.0,Bonds
21,98800.0,Low,Wealth-building,Intermediate,3,Urban,None,Bachelor's,Salaried,28500.0,Property
40,53900.0,Medium,Retirement,Beginner,2,Semi-urban,Some,Bachelor's,Self-employed,12100.0,Bonds
56,38000.0,Medium,Short-term profit,Beginner,3,Semi-urban,None,Master's,Salaried,5200.0,Mixed
64,21000.0,Medium,Retirement,Intermediate,2,Rural,None,High School,Salaried,3300.0,Bonds
40,10000.0,Medium,Short-term profit,Expert,0,Rural,Some,Bachelor's,Retired,3100.0,Mixed
26,105800.0,Low,Wealth-building,Beginner,2,Rural,Some,Bachelor's,Self-employed,29500.0,Stocks
26,36100.0,Low,Wealth-building,Expert,2,Semi-urban,Diverse,Bachelor's,Salaried,10700.0,Bonds
23,71600.0,High,Short-term profit,Intermediate,2,Urban,Diverse,Master's,Self-employed,17700.0,Mixed
47,88600.0,Low,Retirement,Expert,3,Rural,Some,Bachelor's,Salaried,9500.0,Bonds
50,77200.0,High,Short-term profit,Intermediate,3,Semi-urban,Diverse,Bachelor's,Salaried,17500.0,Mixed
68,92600.0,Medium,Short-term profit,Expert,3,Urban,Some,Master's,Self-employed,12200.0,Mixed
52,79500.0,High,Short-term profit,Expert,2,Urban,Some,Master's,Salaried,11500.0,Crypto
42,125200.0,Medium,Wealth-building,Expert,0,Semi-urban,Some,Bachelor's,Salaried,27500.0,Mixed
45,91300.0,Low,Short-term profit,Beginner,3,Urban,Some,Bachelor's,Salaried,10300.0,Crypto
62,75200.0,Low,Short-term profit,Beginner,3,Semi-urban,None,Bachelor's,Freelancer,7500.0,Crypto
64,121900.0,Low,Short-term profit,Beginner,1,Rural,Diverse,Bachelor's,Freelancer,15500.0,Mixed
60,69300.0,Low,Wealth-building,Intermediate,2,Rural,Diverse,Master's,Freelancer,9200.0,Property
24,109800.0,High,Retirement,Expert,3,Urban,Some,Bachelor's,Retired,1600.0,Crypto
66,93000.0,Medium,Retirement,Intermediate,0,Semi-urban,Diverse,Bachelor's,Salaried,15300.0,Bonds
22,33200.0,Medium,Wealth-building,Beginner,0,Rural,Diverse,Bachelor's,Self-employed,7400.0,Mixed
62,63000.0,High,Retirement,Intermediate,1,Rural,None,Master's,Salaried,18200.0,Bonds
40,41100.0,High,Retirement,Beginner,1,Urban,None,Master's,Freelancer,6200.0,Stocks
61,96600.0,Medium,Short-term profit,Beginner,2,Rural,Some,Master's,Salaried,21700.0,Mixed
27,102900.0,Medium,Wealth-building,Intermediate,1,Urban,Some,Bachelor's,Self-employed,18100.0,Mixed
27,93100.0,Medium,Wealth-building,Beginner,3,Urban,Some,High School,Self-employed,17700.0,Mixed
63,10000.0,High,Short-term profit,Beginner,3,Urban,Diverse,High School,Self-employed,1900.0,Mixed
27,47800.0,Medium,Wealth-building,Intermediate,0,Semi-urban,Some,Bachelor's,Freelancer,12700.0,Mixed
48,91600.0,Low,Retirement,Beginner,3,Semi-urban,None,Bachelor's,Salaried,25000.0,Bonds
57,69400.0,Medium,Wealth-building,Expert,3,Urban,None,Bachelor's,Salaried,17400.0,Mixed
35,85000.0,Low,Wealth-building,Intermediate,0,Rural,Some,Bachelor's,Student,1600.0,Mixed
69,75500.0,Medium,Retirement,Intermediate,3,Rural,Diverse,Bachelor's,Freelancer,8300.0,Bonds
60,132200.0,Medium,Wealth-building,Intermediate,1,Urban,Some,Master's,Salaried,22700.0,Mixed
48,69000.0,Low,Wealth-building,Beginner,3,Urban,None,Master's,Self-employed,14800.0,Mixed
57,104100.0,Low,Retirement,Expert,0,Semi-urban,None,High School,Self-employed,20800.0,Bonds
42,112100.0,Medium,Retirement,Intermediate,2,Semi-urban,None,Bachelor's,Salaried,16100.0,Bonds
37,45700.0,Medium,Retirement,Beginner,1,Rural,Some,Bachelor's,Self-employed,12800.0,Bonds
32,59000.0,Medium,Retirement,Beginner,3,Rural,Diverse,Doctorate,Salaried,8500.0,Bonds
39,90100.0,Medium,Retirement,Beginner,3,Urban,None,Bachelor's,Salaried,26100.0,Bonds
34,144300.0,Medium,Wealth-building,Intermediate,3,Urban,Some,Bachelor's,Self-employed,38300.0,Mixed
40,137700.0,Low,Wealth-building,Intermediate,3,Semi-urban,Some,Bachelor's,Salaried,18700.0,Crypto
48,106000.0,Medium,Short-term profit,Beginner,0,Semi-urban,Diverse,Bachelor's,Student,1100.0,Mixed
55,79900.0,Low,Wealth-building,Beginner,3,Semi-urban,Diverse,Bachelor's,Self-employed,15800.0,Stocks
50,79300.0,Medium,Retirement,Intermediate,2,Semi-urban,Diverse,Bachelor's,Salaried,13600.0,Bonds
32,71600.0,Medium,Short-term profit,Beginner,3,Urban,Some,High School,Salaried,13300.0,Mixed
27,85500.0,Low,Wealth-building,Intermediate,3,Rural,Diverse,Master's,Retired,2000.0,Stocks
54,94400.0,Medium,Wealth-building,Intermediate,1,Semi-urban,Diverse,Master's,Salaried,10600.0,Mixed
55,57500.0,High,Short-term profit,Beginner,1,Rural,Diverse,High School,Student,300.0,Bonds
60,76200.0,Medium,Short-term profit,Intermediate,1,Urban,Some,Master's,Self-employed,15200.0,Mixed
21,32700.0,Medium,Short-term profit,Expert,1,Rural,Diverse,Master's,Retired,1100.0,Mixed
69,24600.0,Medium,Retirement,Expert,1,Semi-urban,None,Bachelor's,Salaried,3800.0,Bonds
27,57700.0,Medium,Retirement,Beginner,2,Semi-urban,Diverse,Bachelor's,Self-employed,6600.0,Bonds
21,49000.0,Medium,Wealth-building,Intermediate,0,Semi-urban,Diverse,Bachelor's,Self-employed,6400.0,Mixed
41,53000.0,Medium,Retirement,Intermediate,1,Semi-urban,None,Bachelor's,Self-employed,8800.0,Bonds
24,35100.0,Medium,Retirement,Beginner,3,Semi-urban,None,Bachelor's,Self-employed,6000.0,Bonds
41,61500.0,Low,Wealth-building,Beginner,3,Rural,None,Bachelor's,Salaried,13500.0,Bonds
52,54200.0,Low,Wealth-building,Intermediate,3,Rural,None,Bachelor's,Salaried,6000.0,Property
20,78100.0,Low,Retirement,Beginner,1,Urban,None,High School,Student,1400.0,Bonds
69,41700.0,Low,Retirement,Intermediate,2,Urban,None,High School,Self-employed,5700.0,Bonds
48,109500.0,Medium,Short-term profit,Intermediate,3,Rural,Diverse,Master's,Student,2600.0,Mixed
60,10000.0,Medium,Retirement,Intermediate,1,Semi-urban,None,Master's,Freelancer,2900.0,Bonds
27,44300.0,Low,Retirement,Intermediate,3,Rural,None,High School,Self-employed,11300.0,Bonds
32,29100.0,Medium,Short-term profit,Beginner,2,Urban,None,Bachelor's,Salaried,8100.0,Mixed
26,126100.0,Medium,Retirement,Beginner,1,Semi-urban,None,Master's,Freelancer,28100.0,Bonds
55,33800.0,Low,Wealth-building,Expert,1,Semi-urban,None,Master's,Salaried,8200.0,Stocks
29,105400.0,Medium,Wealth-building,Intermediate,3,Rural,None,Bachelor's,Salaried,21800.0,Mixed
66,45300.0,High,Retirement,Beginner,0,Semi-urban,None,Doctorate,Salaried,13300.0,Stocks
65,58400.0,High,Wealth-building,Beginner,0,Rural,Diverse,Master's,Salaried,15700.0,Crypto
65,71200.0,Medium,Retirement,Intermediate,1,Semi-urban,Some,Bachelor's,Self-employed,18300.0,Bonds
50,95400.0,Medium,Wealth-building,Beginner,3,Rural,None,Bachelor's,Salaried,18100.0,Mixed
43,25000.0,Medium,Short-term profit,Beginner,3,Rural,None,Master's,Salaried,4500.0,Mixed
42,91900.0,Low,Short-term profit,Intermediate,1,Rural,Diverse,Bachelor's,Salaried,14900.0,Stocks
46,75000.0,Medium,Short-term profit,Expert,1,Rural,Some,Bachelor's,Salaried,22000.0,Mixed
61,30500.0,Medium,Short-term profit,Beginner,2,Semi-urban,Some,Bachelor's,Salaried,8900.0,Mixed
35,99000.0,High,Retirement,Intermediate,1,Semi-urban,Diverse,Bachelor's,Self-employed,25100.0,Stocks
34,67400.0,Medium,Retirement,Expert,1,Urban,None,Bachelor's,Retired,2800.0,Bonds
30,98900.0,Medium,Retirement,Beginner,3,Rural,None,Bachelor's,Retired,2300.0,Bonds
23,23100.0,High,Wealth-building,Expert,2,Semi-urban,Diverse,High School,Self-employed,6000.0,Stocks
61,93100.0,Low,Retirement,Intermediate,0,Urban,Some,Bachelor's,Retired,700.0,Bonds
51,72500.0,Medium,Retirement,Expert,1,Rural,Some,High School,Salaried,16700.0,Bonds
46,84400.0,Low,Wealth-building,Beginner,2,Urban,Some,Bachelor's,Salaried,24200.0,Property
62,72100.0,Low,Wealth-building,Intermediate,1,Rural,None,Bachelor's,Self-employed,10700.0,Stocks
61,96800.0,High,Wealth-building,Expert,1,Urban,Some,Bachelor's,Freelancer,18300.0,Stocks
32,65100.0,Medium,Retirement,Beginner,1,Urban,None,Master's,Freelancer,7300.0,Bonds
42,93300.0,Medium,Wealth-building,Beginner,1,Semi-urban,Diverse,Master's,Retired,2500.0,Mixed
24,81600.0,High,Wealth-building,Expert,0,Semi-urban,Diverse,Master's,Salaried,12400.0,Stocks
63,77700.0,Low,Wealth-building,Beginner,2,Urban,Diverse,Master's,Freelancer,22600.0,Bonds
43,86900.0,Medium,Wealth-building,Expert,3,Urban,Some,Master's,Freelancer,9300.0,Mixed
68,56000.0,Medium,Retirement,Intermediate,2,Semi-urban,Some,High School,Freelancer,7900.0,Bonds
45,28800.0,Medium,Wealth-building,Beginner,2,Urban,Some,Bachelor's,Self-employed,7800.0,Mixed
34,32800.0,Medium,Retirement,Beginner,1,Semi-urban,Some,High School,Retired,0.0,Bonds
35,94300.0,Medium,Wealth-building,Intermediate,0,Rural,Diverse,Master's,Salaried,18500.0,Mixed
48,106700.0,Low,Retirement,Beginner,2,Rural,Some,Bachelor's,Freelancer,21100.0,Bonds
22,77100.0,High,Short-term profit,Beginner,0,Rural,None,High School,Self-employed,22000.0,Bonds
36,57300.0,Medium,Short-term profit,Intermediate,1,Semi-urban,None,Bachelor's,Student,1300.0,Mixed
30,82100.0,High,Short-term profit,Beginner,3,Semi-urban,Some,Bachelor's,Retired,3700.0,Stocks
44,70700.0,Low,Wealth-building,Beginner,0,Urban,Some,Master's,Student,3000.0,Mixed
56,72100.0,Low,Short-term profit,Intermediate,2,Semi-urban,Diverse,Master's,Salaried,9000.0,Property
22,76900.0,Low,Short-term profit,Beginner,0,Semi-urban,Some,Bachelor's,Student,2700.0,Mixed
64,58600.0,High,Retirement,Expert,2,Rural,Diverse,Doctorate,Salaried,12100.0,Crypto
69,70800.0,Low,Wealth-building,Intermediate,1,Rural,Diverse,Master's,Self-employed,19200.0,Mixed
